episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,device_waste_steps,policy
33,-98.5,-7.4295,0.67,0.0772,5,Fixed-Timer
34,-72.0,-3.789,0.737,0.078,8,Fixed-Timer
35,-101.0,-4.254,0.749,0.0755,11,Fixed-Timer
36,-50.0,-0.0795,0.749,0.0645,13,Fixed-Timer
37,-112.0,-5.1825,0.687,0.0865,7,Fixed-Timer
38,55.0,4.5765,0.812,0.0607,4,Fixed-Timer
39,61.0,5.232,0.799,0.045,3,Fixed-Timer
40,-44.0,-0.9915,0.747,0.068,8,Fixed-Timer
41,-65.0,-3.2505,0.697,0.08,5,Fixed-Timer
42,-104.5,-6.3285,0.656,0.083,4,Fixed-Timer
43,-11.0,0.963,0.75,0.065,8,Fixed-Timer
44,-155.0,-8.0175,0.64,0.0907,9,Fixed-Timer
45,93.5,6.9345,0.829,0.0568,4,Fixed-Timer
46,-11.0,0.3,0.746,0.0635,5,Fixed-Timer
47,-73.0,-1.731,0.727,0.0857,9,Fixed-Timer
48,33.5,2.6865,0.774,0.0683,3,Fixed-Timer
49,-96.0,-5.94,0.704,0.0815,10,Fixed-Timer
50,-119.5,-7.584,0.716,0.0858,9,Fixed-Timer
51,-120.5,-3.8745,0.695,0.1037,8,Fixed-Timer
52,16.0,2.3235,0.813,0.0578,8,Fixed-Timer
53,5.0,3.3105,0.784,0.0612,6,Fixed-Timer
54,-66.0,-0.5505,0.76,0.0663,15,Fixed-Timer
55,-168.5,-8.217,0.634,0.1047,9,Fixed-Timer
56,-142.5,-9.183,0.624,0.0937,6,Fixed-Timer
57,-117.5,-5.5035,0.683,0.0825,10,Fixed-Timer
58,-112.5,-2.802,0.72,0.0982,11,Fixed-Timer
59,24.0,3.0315,0.807,0.0457,12,Fixed-Timer
60,-74.5,-1.539,0.76,0.0817,13,Fixed-Timer
61,-131.0,-6.4995,0.665,0.0943,9,Fixed-Timer
62,-69.0,-3.186,0.736,0.07,9,Fixed-Timer
63,-111.5,-6.651,0.65,0.0947,5,Fixed-Timer
64,7.0,0.7905,0.764,0.0615,7,Fixed-Timer
65,-107.5,-3.219,0.699,0.0875,9,Fixed-Timer
66,-101.5,-3.5505,0.707,0.0752,11,Fixed-Timer
67,-189.5,-9.6735,0.614,0.1095,7,Fixed-Timer
68,-115.5,-4.662,0.723,0.0815,16,Fixed-Timer
69,-175.5,-10.0605,0.616,0.101,8,Fixed-Timer
70,-170.5,-9.294,0.632,0.0997,9,Fixed-Timer
71,-15.5,0.7665,0.757,0.074,9,Fixed-Timer
72,-37.5,-0.138,0.739,0.0655,9,Fixed-Timer
73,-60.5,-3.558,0.699,0.0705,5,Fixed-Timer
74,-120.5,-6.6255,0.657,0.0902,6,Fixed-Timer
75,-38.0,-2.85,0.709,0.0715,5,Fixed-Timer
76,-82.0,-2.5365,0.714,0.0722,11,Fixed-Timer
77,-146.5,-8.6595,0.617,0.0938,6,Fixed-Timer
78,-38.0,-1.1355,0.719,0.055,7,Fixed-Timer
79,-112.0,-3.06,0.721,0.0838,10,Fixed-Timer
80,-73.0,-3.585,0.738,0.0622,12,Fixed-Timer
81,-85.0,-4.446,0.714,0.081,11,Fixed-Timer
82,-56.0,0.258,0.762,0.0755,13,Fixed-Timer
83,87.5,6.894,0.84,0.0555,2,Fixed-Timer
84,-55.0,-3.5115,0.724,0.0722,8,Fixed-Timer
85,-107.5,-3.522,0.72,0.0942,10,Fixed-Timer
86,-114.5,-5.886,0.675,0.087,8,Fixed-Timer
87,31.5,5.0835,0.798,0.0595,10,Fixed-Timer
88,-125.5,-6.6495,0.649,0.0932,7,Fixed-Timer
89,-65.0,-1.998,0.719,0.0517,12,Fixed-Timer
90,-60.5,-1.809,0.731,0.068,9,Fixed-Timer
91,-106.0,-4.434,0.697,0.0717,8,Fixed-Timer
92,-73.0,-4.065,0.701,0.0777,6,Fixed-Timer
93,-113.0,-6.2745,0.66,0.0962,6,Fixed-Timer
94,-38.0,-2.8425,0.743,0.0795,4,Fixed-Timer
95,16.0,0.6225,0.825,0.05,5,Fixed-Timer
96,-69.0,-3.798,0.702,0.0788,5,Fixed-Timer
97,-32.0,0.081,0.745,0.0537,8,Fixed-Timer
98,-126.5,-4.4535,0.695,0.088,10,Fixed-Timer
99,-139.5,-8.853,0.615,0.0875,5,Fixed-Timer
100,-16.5,1.929,0.791,0.0595,6,Fixed-Timer
101,-170.5,-7.4385,0.658,0.1005,17,Fixed-Timer
102,18.0,0.882,0.8,0.061,11,Fixed-Timer
103,-24.5,2.094,0.782,0.0532,11,Fixed-Timer
104,-96.5,-4.4295,0.677,0.079,10,Fixed-Timer
105,-124.0,-5.9595,0.687,0.09,9,Fixed-Timer
106,-140.5,-8.157,0.673,0.0905,9,Fixed-Timer
107,-161.5,-8.0865,0.622,0.0975,6,Fixed-Timer
108,-99.0,-5.1315,0.657,0.0825,4,Fixed-Timer
109,-81.5,-3.201,0.706,0.0837,6,Fixed-Timer
110,-27.0,0.567,0.83,0.0565,12,Fixed-Timer
111,-72.0,-2.9085,0.712,0.0745,8,Fixed-Timer
112,28.5,5.355,0.829,0.0465,16,Fixed-Timer
113,-66.0,-1.746,0.762,0.0748,13,Fixed-Timer
114,-123.0,-4.3455,0.702,0.0975,8,Fixed-Timer
115,-70.5,-5.2515,0.67,0.071,4,Fixed-Timer
116,-79.0,-1.7745,0.733,0.062,13,Fixed-Timer
117,-70.5,-1.875,0.724,0.0772,8,Fixed-Timer
118,-107.0,-6.933,0.663,0.078,7,Fixed-Timer
119,-117.0,-5.955,0.676,0.0935,6,Fixed-Timer
120,-35.0,1.8825,0.779,0.076,12,Fixed-Timer
121,-77.5,-3.5865,0.699,0.0937,6,Fixed-Timer
122,-127.5,-6.0315,0.684,0.1032,7,Fixed-Timer
123,-0.5,2.0145,0.783,0.0512,10,Fixed-Timer
124,-88.0,-6.3375,0.683,0.089,6,Fixed-Timer
125,-156.5,-10.0065,0.595,0.0912,4,Fixed-Timer
126,-23.5,1.917,0.779,0.053,14,Fixed-Timer
127,-8.5,2.04,0.79,0.0648,7,Fixed-Timer
128,55.5,4.242,0.821,0.038,12,Fixed-Timer
129,-68.5,-1.407,0.713,0.084,6,Fixed-Timer
130,-48.5,-1.299,0.766,0.068,12,Fixed-Timer
131,-105.0,-5.061,0.677,0.0697,11,Fixed-Timer
132,-33.5,0.2085,0.743,0.0628,9,Fixed-Timer
133,-85.0,-2.814,0.713,0.0668,12,Fixed-Timer
134,-31.0,-2.3565,0.734,0.0735,6,Fixed-Timer
135,-110.5,-7.095,0.629,0.085,4,Fixed-Timer
136,-82.0,-2.79,0.72,0.0695,10,Fixed-Timer
137,-14.0,-0.72,0.753,0.0665,6,Fixed-Timer
138,-139.0,-4.8885,0.699,0.0855,15,Fixed-Timer
139,-72.0,-3.111,0.698,0.081,7,Fixed-Timer
140,-95.0,-6.222,0.664,0.0815,7,Fixed-Timer
141,-61.0,-1.695,0.717,0.0692,6,Fixed-Timer
142,-46.0,-0.5985,0.744,0.0677,10,Fixed-Timer
143,-97.0,-3.0525,0.704,0.0832,10,Fixed-Timer
144,-96.5,-4.368,0.679,0.0845,4,Fixed-Timer
145,29.0,3.6885,0.788,0.0642,7,Fixed-Timer
146,-24.0,0.1875,0.752,0.0802,8,Fixed-Timer
147,-7.5,3.1275,0.786,0.0465,11,Fixed-Timer
148,-98.0,-6.1725,0.651,0.0745,5,Fixed-Timer
149,-71.5,-1.626,0.725,0.073,9,Fixed-Timer
150,-120.5,-6.3165,0.724,0.095,12,Fixed-Timer
151,-133.5,-7.785,0.657,0.0745,10,Fixed-Timer
152,19.0,3.6855,0.802,0.0503,13,Fixed-Timer
153,-83.5,-2.994,0.693,0.086,5,Fixed-Timer
154,48.0,4.485,0.822,0.0563,7,Fixed-Timer
155,-85.0,-5.7045,0.685,0.0862,6,Fixed-Timer
156,-23.0,-0.486,0.723,0.0712,2,Fixed-Timer
157,-189.0,-9.0585,0.64,0.1047,14,Fixed-Timer
158,-159.0,-8.565,0.628,0.087,11,Fixed-Timer
159,-68.5,-2.7,0.713,0.09,7,Fixed-Timer
160,-151.5,-9.6795,0.619,0.0965,6,Fixed-Timer
161,-74.0,-2.133,0.736,0.0675,8,Fixed-Timer
162,-79.5,-3.741,0.72,0.0927,10,Fixed-Timer
163,-131.5,-5.0475,0.708,0.0917,15,Fixed-Timer
164,-133.5,-5.9895,0.663,0.0942,9,Fixed-Timer
165,-144.5,-7.0785,0.67,0.0847,14,Fixed-Timer
166,8.5,1.7385,0.774,0.0437,16,Fixed-Timer
167,-83.5,-6.591,0.661,0.0612,6,Fixed-Timer
168,-93.5,-7.3245,0.652,0.0817,2,Fixed-Timer
169,-212.5,-13.9095,0.54,0.1165,2,Fixed-Timer
170,40.5,4.1955,0.807,0.0605,5,Fixed-Timer
171,-114.0,-4.794,0.676,0.076,10,Fixed-Timer
172,-55.0,-0.024,0.755,0.08,8,Fixed-Timer
173,-151.0,-8.07,0.656,0.1007,10,Fixed-Timer
174,-60.5,-1.734,0.786,0.0658,13,Fixed-Timer
175,-115.0,-7.113,0.662,0.0815,6,Fixed-Timer
176,-44.5,-0.627,0.733,0.076,7,Fixed-Timer
177,-138.5,-9.696,0.654,0.0932,5,Fixed-Timer
178,-51.5,0.1395,0.762,0.063,17,Fixed-Timer
179,-69.0,-2.5245,0.756,0.0867,10,Fixed-Timer
180,18.0,1.1745,0.794,0.0625,6,Fixed-Timer
181,-165.5,-9.003,0.661,0.1095,10,Fixed-Timer
182,-159.0,-9.87,0.601,0.0942,6,Fixed-Timer
183,-66.5,-2.1585,0.741,0.0785,9,Fixed-Timer
184,-218.5,-10.7745,0.613,0.1197,11,Fixed-Timer
185,-86.5,-3.5385,0.731,0.0877,9,Fixed-Timer
186,-50.0,-0.8505,0.732,0.0772,7,Fixed-Timer
187,-164.0,-10.137,0.612,0.0925,5,Fixed-Timer
188,106.0,7.959,0.847,0.0335,6,Fixed-Timer
189,-136.0,-7.9065,0.653,0.0912,7,Fixed-Timer
190,-150.0,-8.2665,0.656,0.0945,6,Fixed-Timer
191,-26.5,1.8435,0.773,0.0783,10,Fixed-Timer
192,18.0,1.1805,0.906,0.0493,15,Fixed-Timer
193,-102.0,-4.605,0.692,0.0915,9,Fixed-Timer
194,35.5,3.105,0.803,0.0585,5,Fixed-Timer
195,-34.5,2.013,0.794,0.0587,18,Fixed-Timer
196,18.5,4.1625,0.796,0.0745,6,Fixed-Timer
197,-76.0,-2.115,0.721,0.0783,7,Fixed-Timer
198,-66.0,-0.7095,0.741,0.068,10,Fixed-Timer
199,-72.5,-2.1405,0.734,0.0642,12,Fixed-Timer
200,-233.5,-12.078,0.598,0.1232,10,Fixed-Timer
1,225.0,4.4715,0.977,0.0008,2,RL-Policy
2,258.5,6.5715,0.988,0.0013,6,RL-Policy
3,233.5,5.52,0.987,0.002,6,RL-Policy
4,212.0,5.154,0.986,0.0028,2,RL-Policy
5,234.5,7.287,0.992,0.0023,5,RL-Policy
6,231.5,5.3175,0.982,0.0,3,RL-Policy
7,219.5,8.835,0.979,0.0013,11,RL-Policy
8,243.5,7.3395,0.99,0.0,6,RL-Policy
9,270.0,7.1295,0.992,0.0,3,RL-Policy
10,231.5,3.042,0.988,0.0,1,RL-Policy
11,251.0,7.8825,0.995,0.0,2,RL-Policy
12,236.0,3.2595,0.971,0.0,6,RL-Policy
13,204.0,3.8895,0.989,0.0013,3,RL-Policy
14,256.0,3.8295,0.99,0.0,1,RL-Policy
15,226.5,4.5,0.988,0.0,1,RL-Policy
16,200.5,3.384,0.988,0.003,2,RL-Policy
17,225.5,4.2345,0.986,0.0003,2,RL-Policy
18,241.5,6.2895,0.989,0.0013,2,RL-Policy
19,226.0,5.4825,0.997,0.0,3,RL-Policy
20,253.0,6.147,0.992,0.0025,5,RL-Policy
21,205.5,4.2195,0.987,0.0,0,RL-Policy
22,205.5,4.215,0.97,0.0013,6,RL-Policy
23,248.0,5.541,0.987,0.0015,1,RL-Policy
24,245.0,3.801,0.988,0.0008,5,RL-Policy
25,233.0,5.8725,0.992,0.0,4,RL-Policy
26,271.0,6.7365,0.997,0.0003,12,RL-Policy
27,232.0,6.2235,0.989,0.0023,5,RL-Policy
28,237.5,7.4745,0.984,0.0,9,RL-Policy
29,231.5,4.44,0.982,0.0013,0,RL-Policy
30,235.0,6.285,0.993,0.0,0,RL-Policy
31,226.0,4.266,0.986,0.0,3,RL-Policy
32,225.0,3.351,0.99,0.0,3,RL-Policy
33,203.5,2.3205,0.98,0.0028,4,RL-Policy
34,256.5,4.002,0.99,0.0,4,RL-Policy
35,225.5,4.758,0.99,0.0013,5,RL-Policy
36,249.0,6.582,0.979,0.0,4,RL-Policy
37,202.5,3.8115,0.988,0.0043,5,RL-Policy
38,217.5,5.31,0.981,0.0,7,RL-Policy
39,186.0,3.012,0.975,0.0013,7,RL-Policy
40,228.5,4.992,0.984,0.0,2,RL-Policy
41,225.0,3.525,0.972,0.0,5,RL-Policy
42,199.0,3.0885,0.963,0.001,4,RL-Policy
43,222.0,1.6815,0.978,0.0,1,RL-Policy
44,208.5,4.0905,0.976,0.0025,7,RL-Policy
45,227.0,3.0495,0.987,0.0003,5,RL-Policy
46,234.0,5.244,0.979,0.0013,5,RL-Policy
47,211.5,4.7235,0.986,0.0005,5,RL-Policy
48,207.5,4.4415,0.986,0.0015,4,RL-Policy
49,207.5,2.115,0.983,0.0013,1,RL-Policy
50,230.0,5.91,0.982,0.0015,7,RL-Policy
51,228.5,6.1815,0.993,0.0025,4,RL-Policy
52,258.0,5.5275,0.986,0.0008,2,RL-Policy
53,210.0,3.8865,0.974,0.0008,5,RL-Policy
54,244.5,7.701,0.99,0.0035,6,RL-Policy
55,240.0,5.25,0.983,0.0003,2,RL-Policy
56,218.5,5.1555,0.985,0.0,1,RL-Policy
57,275.0,8.622,0.99,0.0,6,RL-Policy
58,233.5,7.371,0.996,0.0,4,RL-Policy
59,212.0,3.357,0.989,0.0,0,RL-Policy
60,233.5,6.3765,0.978,0.0,5,RL-Policy
61,201.5,2.0805,0.987,0.0,2,RL-Policy
62,217.5,5.3625,0.987,0.0013,4,RL-Policy
63,255.5,7.173,0.988,0.0015,6,RL-Policy
64,255.0,9.4575,0.995,0.0003,3,RL-Policy
65,227.0,4.317,0.985,0.0028,5,RL-Policy
66,199.0,2.979,0.989,0.0,4,RL-Policy
67,178.0,1.9155,0.972,0.001,5,RL-Policy
68,229.5,6.849,0.991,0.0043,7,RL-Policy
69,214.0,2.367,0.983,0.002,7,RL-Policy
70,236.0,5.481,0.987,0.0,2,RL-Policy
71,237.5,4.845,0.986,0.0013,4,RL-Policy
72,229.0,5.109,0.993,0.0,2,RL-Policy
73,219.5,3.942,0.982,0.0,6,RL-Policy
74,265.5,9.6975,0.994,0.0013,8,RL-Policy
75,229.5,4.149,0.989,0.0,5,RL-Policy
76,236.5,5.3205,0.987,0.0003,6,RL-Policy
77,232.0,6.2115,0.989,0.0,8,RL-Policy
78,229.5,5.2725,0.995,0.0,3,RL-Policy
79,234.5,7.1835,0.986,0.003,4,RL-Policy
80,230.0,5.8785,0.979,0.0,8,RL-Policy
81,228.0,4.1985,0.974,0.0,3,RL-Policy
82,202.0,3.621,0.992,0.0,2,RL-Policy
83,219.0,3.4395,0.985,0.0015,1,RL-Policy
84,187.5,3.1155,0.99,0.002,2,RL-Policy
85,220.5,6.426,0.993,0.0,8,RL-Policy
86,237.5,6.918,0.99,0.0003,6,RL-Policy
87,228.5,7.38,0.984,0.0,6,RL-Policy
88,228.5,3.114,0.981,0.002,6,RL-Policy
89,203.0,3.357,0.977,0.0,1,RL-Policy
90,208.5,2.796,0.982,0.0,3,RL-Policy
91,208.0,2.925,0.993,0.0003,2,RL-Policy
92,233.0,8.2545,0.987,0.0035,2,RL-Policy
93,214.0,3.4875,0.986,0.0,2,RL-Policy
94,208.0,4.1625,0.992,0.0,12,RL-Policy
95,234.0,6.729,0.99,0.0015,4,RL-Policy
96,232.0,4.956,0.993,0.0003,8,RL-Policy
97,265.0,7.203,0.996,0.0,5,RL-Policy
98,239.5,5.226,0.994,0.0003,3,RL-Policy
99,243.5,4.05,0.986,0.0,2,RL-Policy
100,290.0,10.332,0.998,0.0,2,RL-Policy
101,244.5,4.5735,0.99,0.0,2,RL-Policy
102,231.0,5.9595,0.997,0.0003,5,RL-Policy
103,217.5,5.529,0.983,0.0025,5,RL-Policy
104,211.5,4.62,0.99,0.0003,8,RL-Policy
105,230.5,6.4965,0.987,0.0,4,RL-Policy
106,234.0,4.1535,0.985,0.0,3,RL-Policy
107,222.0,7.548,0.986,0.0,8,RL-Policy
108,227.5,5.7405,0.978,0.0,7,RL-Policy
109,228.0,6.6435,0.978,0.0,7,RL-Policy
110,253.0,7.6155,0.993,0.0,3,RL-Policy
111,248.5,9.486,0.99,0.0,5,RL-Policy
112,220.5,4.185,0.991,0.0,4,RL-Policy
113,235.0,5.6595,0.983,0.0,2,RL-Policy
114,226.0,3.5895,0.999,0.0,4,RL-Policy
115,235.0,4.4805,0.987,0.0,6,RL-Policy
116,187.5,2.8635,0.976,0.0015,2,RL-Policy
117,240.5,6.5355,0.996,0.0013,5,RL-Policy
118,232.0,6.5505,0.991,0.0023,7,RL-Policy
119,214.5,4.3905,0.996,0.0005,4,RL-Policy
120,192.0,3.927,0.983,0.0025,5,RL-Policy
121,228.0,5.406,0.984,0.0017,4,RL-Policy
122,215.0,3.5565,0.987,0.0008,1,RL-Policy
123,201.0,3.846,0.976,0.0,2,RL-Policy
124,199.0,5.172,0.994,0.0003,5,RL-Policy
125,219.0,3.8655,0.983,0.0035,5,RL-Policy
126,179.5,3.222,0.984,0.0047,11,RL-Policy
127,211.5,4.7415,0.972,0.0,4,RL-Policy
128,203.5,6.3975,0.978,0.002,7,RL-Policy
129,220.5,4.863,0.992,0.0015,7,RL-Policy
130,230.0,5.004,0.987,0.0,2,RL-Policy
131,242.5,7.1835,0.988,0.0,3,RL-Policy
132,248.0,6.585,0.981,0.0,5,RL-Policy
133,220.5,3.504,0.986,0.0,3,RL-Policy
134,228.5,6.396,0.987,0.0003,6,RL-Policy
135,176.0,2.265,0.992,0.0,1,RL-Policy
136,219.0,3.4725,0.989,0.0,3,RL-Policy
137,240.0,7.3905,0.991,0.0013,7,RL-Policy
138,233.5,6.237,0.984,0.0028,4,RL-Policy
139,216.5,5.691,0.989,0.0,5,RL-Policy
140,227.5,2.1885,0.988,0.0,1,RL-Policy
141,217.0,3.7785,0.977,0.0005,3,RL-Policy
142,242.0,6.195,0.989,0.003,7,RL-Policy
143,235.0,6.51,0.988,0.0,4,RL-Policy
144,214.5,4.167,0.982,0.0,6,RL-Policy
145,226.5,5.763,0.99,0.0013,4,RL-Policy
146,219.0,5.0235,0.982,0.0,3,RL-Policy
147,216.5,4.386,0.983,0.0,4,RL-Policy
148,248.5,5.955,0.981,0.0,3,RL-Policy
149,223.0,2.9925,0.995,0.0,1,RL-Policy
150,210.0,3.972,0.987,0.0025,6,RL-Policy
151,221.0,4.2315,0.987,0.0025,2,RL-Policy
152,221.0,4.368,0.996,0.0,2,RL-Policy
153,257.0,7.2075,0.99,0.0,6,RL-Policy
154,222.0,2.9535,0.975,0.0,3,RL-Policy
155,235.5,5.73,0.997,0.0,4,RL-Policy
156,215.0,4.7955,0.982,0.0,6,RL-Policy
157,223.0,3.813,0.984,0.0,3,RL-Policy
158,178.0,0.603,0.96,0.0005,4,RL-Policy
159,227.5,5.151,0.992,0.0,0,RL-Policy
160,214.0,3.8085,0.986,0.0005,4,RL-Policy
161,197.5,2.277,0.983,0.0003,3,RL-Policy
162,235.5,6.87,0.998,0.0,3,RL-Policy
163,255.0,7.4865,0.986,0.0,2,RL-Policy
164,218.0,3.1575,0.971,0.0005,2,RL-Policy
165,260.0,7.3575,0.993,0.0003,2,RL-Policy
166,249.5,5.6115,0.995,0.0,3,RL-Policy
167,197.5,2.6775,0.994,0.0,5,RL-Policy
168,245.5,5.733,0.988,0.0003,4,RL-Policy
169,224.5,6.135,0.989,0.0028,3,RL-Policy
170,203.5,4.638,0.99,0.0,2,RL-Policy
171,257.5,5.3505,0.996,0.0,4,RL-Policy
172,217.0,2.6085,0.98,0.0,3,RL-Policy
173,257.0,8.979,0.993,0.0005,5,RL-Policy
174,209.0,3.1125,0.984,0.002,4,RL-Policy
175,241.5,3.1395,0.974,0.0017,1,RL-Policy
176,228.5,6.2565,0.987,0.0005,5,RL-Policy
177,205.5,5.6925,0.986,0.0,4,RL-Policy
178,250.5,6.228,0.992,0.0,4,RL-Policy
179,255.0,7.8315,0.994,0.0003,2,RL-Policy
180,220.5,4.6725,0.991,0.0023,8,RL-Policy
181,246.5,6.957,0.988,0.0,3,RL-Policy
182,221.5,6.9855,0.98,0.003,6,RL-Policy
183,237.0,4.7355,0.988,0.0,3,RL-Policy
184,210.5,2.904,0.988,0.0,1,RL-Policy
185,207.5,4.5465,0.988,0.003,5,RL-Policy
186,255.0,8.016,0.984,0.0,1,RL-Policy
187,199.0,4.737,0.985,0.0033,11,RL-Policy
188,207.0,5.6265,0.983,0.0015,7,RL-Policy
189,249.0,4.647,0.997,0.0,1,RL-Policy
190,230.0,6.5565,0.991,0.0,2,RL-Policy
191,207.5,5.682,0.989,0.0017,6,RL-Policy
192,197.0,2.454,0.987,0.0005,7,RL-Policy
193,227.0,5.769,0.986,0.002,6,RL-Policy
194,223.5,6.108,0.98,0.0025,5,RL-Policy
195,226.0,7.41,0.986,0.0013,4,RL-Policy
196,252.5,5.8545,0.984,0.0005,1,RL-Policy
197,197.0,5.499,0.977,0.0037,6,RL-Policy
198,240.0,8.004,0.992,0.0013,6,RL-Policy
199,233.0,5.0985,0.987,0.0013,4,RL-Policy
200,234.0,4.92,0.992,0.0,2,RL-Policy
